ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
-50692.2220376842,-106272.498525918,-18875.0767787844,-84123.0612184238,-38837.1759410277,-57154.7580936849,-122373.4228376,-32160.4306105636
-34727.9291049838,-92052.8076184988,-13510.3355917931,-98371.9739489406,-42641.450342387,-52903.2795797065,-104130.739126906,-36134.2417621613
-25150.396566987,-55079.724180745,-6227.78152486682,-53300.3772789836,-40467.0317380726,-30703.6793807745,-41564.0883276463,-19365.0533738136
-7696.69176492095,-52060.9363262011,-787.286151409149,-12318.2133970559,-22165.8624902964,-4214.89218974113,-16336.6828757226,-5382.28653561883
-24524.321615994,-49847.869419694,336.406856417656,-14332.2918313742,-16420.5728437901,8488.85579410195,-18102.6189085245,-8616.53056621551
-40667.60303545,-60262.3007692993,-4843.06765091419,-34175.1007673861,-24356.4576628506,-16913.9674895108,-26105.2202072686,-8604.58384639025
-26143.3625895083,-65453.750412792,-6483.79652553797,-24096.9275017232,-19889.2770076394,-22415.4454188943,-49805.9782692045,-7447.92756354809
-34577.2931529135,-49325.1053708326,-9881.01196330786,-33247.3494729996,-18198.1137541235,-38189.6969815344,-77517.6254772544,-15813.9873156846
-43140.9238961339,-75225.7816180084,-10877.299094677,-40640.6215793714,-11893.0685675815,-26349.0264097452,-56286.6323209703,-18778.7144906819
-53868.8524502851,-97142.36169542,-17472.1226241589,-108482.853019398,-18144.0464599282,-44674.434138624,-93490.6994391531,-28520.6293435097
-56864.1009846032,-123698.169559229,-28391.6376624107,-126222.248008594,-42518.6965465397,-77864.008398775,-130803.450309873,-41974.276283741
-54360.4183645398,-128725.241195172,-23797.5694217682,-122125.641940951,-35739.8811267018,-83135.3307654634,-121390.359386802,-36886.742557168
-57600.4517977238,-107865.080428787,-23821.3514385223,-134231.796240881,-34781.4039094001,-64196.5826044381,-115296.825870454,-33660.6332345009
-32830.2874597684,-110809.849906296,-14529.8898499012,-89360.0081614256,-45105.8937950134,-58053.3978707194,-73273.6634908095,-31192.0460579395
-22807.182608828,-64106.3298466802,-4826.64476966858,-48802.0007817745,-34626.5473448187,-30028.186329484,-38894.4807758331,-15350.8935073614
-10957.9559748173,-46359.9849247783,-721.163066148758,-819.466417618096,-20455.234988451,11048.9530654922,-15971.9154434204,-11149.9487954378
-12716.3924939632,-61508.9327398539,-1926.65422031283,19527.324552089,-8442.43907492608,3955.77614617348,-12130.3340889514,-6574.83875340223
-11564.3936255574,-39640.1765770428,-3716.88589411974,-20879.7210811228,-17251.1930080056,-15043.2258969545,-21879.1383374333,361.51832306385
-28197.9363000393,-63227.0054282844,-6409.2216385752,-15365.6414774768,-16360.3898526616,-28433.6090495586,-30864.8400755823,-5370.11818397045
-21998.3808408976,-69200.7449266333,-9812.32861655951,-35880.408995077,-13103.0566219091,-38132.2893323898,-44701.1122186258,-15567.0939630279
-31623.6254050136,-63807.7019505799,-13882.3984694481,-53705.5710744858,-24507.0041641891,-51425.8600680232,-50619.7056921721,-20479.2881124616
-34117.3485269547,-102227.630326509,-12404.0471762419,-99009.6024827212,-26326.7434785366,-62257.0893282592,-78127.9844552875,-30831.9055224657
-56036.0822383612,-95451.0474092742,-24210.5950750411,-109555.848015104,-55885.5924611576,-60254.5993728936,-137300.365178764,-31677.802092731
-52691.1489553452,-94249.7716054842,-19632.4247711599,-129294.347101629,-65219.4452934265,-72119.2567219138,-107384.876447916,-27085.0537573881
-54451.5057267249,-99448.0041980446,-14183.7782825828,-106561.999612451,-57355.8882957399,-71755.6186672449,-120046.922339454,-38695.8443243504
-44526.6443106979,-94734.9494401216,-10391.5067000818,-106118.914624603,-54787.703851223,-49373.320791088,-84875.1558400542,-23507.3969092369
-59507.1688147485,-86020.6762332842,-8032.39908957481,-67745.0384055227,-43157.9883534871,-59173.3717130125,-28421.6102222777,-18594.0274534673
-24789.2024713159,-55516.554332912,-5057.9871109724,-23221.6922315359,-24246.6900011599,5380.80848968029,16313.8673874736,-8750.92013467848
