ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
-39080.2116557658,-96008.9703149199,-12808.9415397644,-89421.3581594825,-38934.2289116383,-31714.0078884959,-68136.5160881132,-24755.4131577015
-20865.5635920987,-77454.8770681024,-6910.27161324024,-57815.3795642518,-21790.5420623906,-22960.5646633133,-45409.2989494503,-11893.7592194527
-1651.15675711632,-42451.1912002862,948.850233109668,3802.55956184119,-8610.94773970544,-4058.7920255363,6829.44247126579,2542.99254098535
-12493.8089970946,-41171.1834085584,3123.8808336854,-13840.6347981393,-3549.49445324764,3622.57408599462,-15474.2293451875,-8386.738956213
-25299.0822389126,-36738.7863218188,3690.44855356216,-21857.5339963585,-8630.95940795541,-10254.3444554657,-18932.9874712862,-12187.2184820771
-4950.77410307527,-17672.7443822622,1898.57731963694,-22338.5008658171,-4154.84012460709,2648.89461894333,9649.92952521891,258.265538334847
-1559.66674765199,-55803.6433707178,-6524.72559694201,-28371.9848260246,-10621.123315528,-21401.9851769954,-12023.1356277913,-1712.64848766848
-31060.183976531,-116305.576904759,-13989.5069144368,-83597.8582764268,-28356.9820858836,-46495.3528240621,-112108.672504932,-20587.9193017185
-39545.6682443619,-110355.443144351,-15857.0430755857,-107573.870266974,-44699.2076553851,-52232.6934889555,-94002.5367068201,-23119.6344590187
-47783.9948235154,-98897.0788266659,-17252.719550848,-123768.774488926,-27235.2974937558,-55441.5392596722,-105902.881178938,-16875.8988482952
-52199.7718112469,-98118.4450772405,-15334.7467208505,-97280.1572807878,-28317.7662900537,-52997.5486961901,-74087.6293967217,-17953.5333919525
-27346.5549168885,-97801.8730265796,-14204.3597807288,-115547.235629415,-30527.3878638148,-60414.3618380427,-72297.0346955555,-24016.5928485096
-38038.0959028751,-70047.3493066207,-13948.1701952219,-79196.7112420797,-29885.2235470526,-54484.7507646084,-77938.4244573414,-20095.1915861368
-26269.1273803785,-50754.376857765,-7214.22247076035,-72751.7350533344,-21876.2051303685,-13892.6551438719,-43103.4805841446,-14818.1138895676
-2848.03386956453,-29067.3215839751,3673.73807221651,-19250.5406647027,2871.38633930683,-417.285446807742,-11134.6485402584,-10471.5588037968
-4151.87389710546,-26422.9114460051,588.053757604212,-893.428547367454,-3093.67139518261,-17731.059959203,8390.2378429845,-11349.0644648075
-27947.8414158821,-31062.5874959007,1708.83907800913,16740.5486485586,-936.657017864287,-11207.5814912915,-10700.6590043455,-5841.89109706879
-3231.7699259501,-32122.320336719,1737.52620649338,-21911.9886179641,-12560.8061390221,-6167.90625876188,-5884.95655831695,-1512.7148450315
-28588.9070422053,-58301.7533722892,-902.798046112061,-28818.9483828098,-16348.9056611657,-16636.6869912297,-11496.1839585304,3591.90013551712
-43463.56573008,-95695.2180173397,-11167.9966943264,-81530.06121099,-24829.0713505745,-43517.4251143038,-76881.4603836835,-12572.2365387678
