"","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt","tws_sumt"
"13",0.106206812305389,0.15549623494964,-0.259794217658019,0.268433316874378,-0.134256426170842,-0.529862270110612,0.473568262400709,-0.0892461206454242,0.107671073488629,0.480922501783736,0.328987046907107,0.187031107025901,0.199417071053127,0.459355507291602,-0.0671236084349962,-0.313846539632271,0.462811346246079,-0.461056612491852,0.426810132960341
"14",0.137900234054597,0.177704558740251,-0.24915130307702,0.300206372957396,-0.0641279084314163,-0.505833589934373,0.492151684270966,-0.0354115671362578,0.153628420709198,0.48237983622784,0.336417103531001,0.185765530137042,0.173856794851614,0.446155008698065,-0.0921339248531017,-0.297663858788617,0.457261471241114,-0.431992259303454,0.453832032748907
"15",0.154923754473135,0.199110342402951,-0.226783551213497,0.317308795833232,0.0112961035586542,-0.465179144746515,0.49186924031307,0.0106702909128053,0.177698360939406,0.483943069814291,0.344889190197498,0.186129269197147,0.15305989890146,0.445896330062904,-0.101580427454859,-0.305004646317388,0.433862597785819,-0.405278623764644,0.471083994567011
"16",0.164441708748332,0.222558968246001,-0.165345518186286,0.332557930618805,0.0772905853471829,-0.413988486581006,0.484529973709792,0.0455531157012886,0.183282079098135,0.486456815778493,0.35623484356887,0.195066724712366,0.13786193416826,0.450505526949892,-0.091871708967825,-0.316178465996157,0.409486912864252,-0.369181848938645,0.464759520446751
"17",0.165732604421406,0.233733865993497,-0.107612550574125,0.34168980755905,0.120457668723535,-0.361799802890476,0.478052871020766,0.06537853897262,0.195197700284945,0.488944148586718,0.361330178167829,0.217123944364406,0.127478004084254,0.452350384184488,-0.0703387245576595,-0.300389874066103,0.392734406286647,-0.334292608962184,0.45056215139097
"18",0.136949340122385,0.206557963328661,-0.0870172505161593,0.327285674531329,0.131011366023917,-0.319778821486506,0.46894437056947,0.0911301214832327,0.223548754045168,0.49412794807635,0.372926093868921,0.2543905322693,0.112935867940913,0.447610594770441,-0.0459813969678697,-0.289217639679188,0.375623051405475,-0.300880193996457,0.442183562745401
"19",0.089215487851573,0.168241723916532,-0.032032043613027,0.296351588798721,0.122710677975129,-0.264898663395654,0.442911674029965,0.133257071589213,0.256861544744065,0.496166873591946,0.389838788340223,0.292349549644463,0.109349962683277,0.450848125789952,-0.0212132728681714,-0.28415033496472,0.367390693594384,-0.261968317214967,0.436944959677374
"20",0.0474473898801348,0.133681842476096,0.0114253437366376,0.283941660385862,0.108165045889843,-0.232257549360285,0.399705883195071,0.162831092198126,0.276132338666448,0.49269332916575,0.396608787716956,0.319895813570802,0.120409009477379,0.450690693420315,-0.00326727712780106,-0.280170068951992,0.359471230823005,-0.231146392491091,0.435534188724448
"21",0.00438343473556903,0.0898077296032284,0.00488773551447957,0.289614440331486,0.0848939394371248,-0.247303288551695,0.362302056008829,0.180708150872731,0.284352995289229,0.496633210180083,0.405882848787583,0.354283116995949,0.15689877055675,0.449770226874067,0.0153638073546,-0.262008957992502,0.347594764546806,-0.217522066140162,0.431391857829107
"22",-0.0619532019825468,0.0266882580380669,-0.00228464791245079,0.276532751505946,0.0492329092019065,-0.246437742318431,0.333579773371256,0.202177353955734,0.295236778899254,0.505206458664472,0.415527865726388,0.381003882327388,0.220192333743045,0.457828237153833,0.0345157372907374,-0.238579621156378,0.329592515728408,-0.21923518962207,0.421217686610401
