routeid,region,size,variable,long,lat
10,ATO,2.78845211338908,long5,-40.5485136307192,47.8544197285534
11,ATO,2.78845211338908,long5,7.63553188376608,56.6397562200883
12,NA,0.275115624721756,long5,-109.329338171471,62.2023241316451
13,EU,10.9803510329698,long5,70.5761838378711,76.6751394704176
14,AS,30.1355157240119,long5,77.9709594490682,43.9469692917451
15,ATO,2.78845211338908,long5,-53.5605020996517,40.351699956593
16,MS,0.963089001128358,long5,8.02109886875459,36.341801721625
17,AS,30.1355157240119,long5,40.4225481620356,27.3946362078177
18,EU,10.9803510329698,long5,35.1743960836418,46.2599863802233
19,ATO,2.78845211338908,long5,-11.3600810996038,34.4632466276572
20,EU,10.9803510329698,long5,70.9021048973596,65.2445027922045
1,NA,0.275115624721756,long6,-99.267605783189,43.8573881460372
2,EU,10.9803510329698,long6,14.5923897163019,58.4505400047246
3,EU,10.9803510329698,long6,128.123985154131,65.6420032991657
4,AS,30.1355157240119,long6,-37.0477498532636,49.9167207750587
5,ATO,2.78845211338908,long6,49.4395794907507,61.9948520087682
6,ATO,2.78845211338908,long6,-20.7023013657816,76.2536054837613
7,ATO,2.78845211338908,long6,-25.1602856852726,58.3446413666933
8,EU,10.9803510329698,long6,91.6583022202439,57.0173110355034
9,CS,1.07643236311117,long6,57.7851048785548,41.6040439218406
10,ATO,2.78845211338908,long6,-36.1427735568186,48.3892489088666
11,ATO,2.78845211338908,long6,9.69125793950898,56.8184338942099
12,NA,0.275115624721756,long6,-104.139550153284,62.7502636219054
13,EU,10.9803510329698,long6,32.0969687790964,77.5680795199498
14,AS,30.1355157240119,long6,78.8036364552234,43.7617456077427
15,ATO,2.78845211338908,long6,-50.6574975645663,40.6743706370877
16,MS,0.963089001128358,long6,10.7089683718707,36.3424422623008
17,AS,30.1355157240119,long6,41.1337425810271,27.379839080359
18,EU,10.9803510329698,long6,37.0430241514979,46.1116886864568
19,ATO,2.78845211338908,long6,-9.16925070425566,34.2869802213508
20,EU,10.9803510329698,long6,70.4778250893699,64.926507573576
1,NA,0.275115624721756,long7,-94.7134842416931,44.0541937244948
2,EU,10.9803510329698,long7,19.0498292291794,58.6889865130427
3,EU,10.9803510329698,long7,126.825917033988,65.8285156460452
4,AS,30.1355157240119,long7,-72.7961803648542,50.3388887838031
5,ATO,2.78845211338908,long7,54.0250244972633,61.7696702740409
6,ATO,2.78845211338908,long7,25.8935675020497,76.5815800747204
7,ATO,2.78845211338908,long7,-17.8701611715827,59.0243670542173
8,EU,10.9803510329698,long7,92.5984223653129,56.5940474397831
9,CS,1.07643236311117,long7,59.2395759604003,41.4951439706377
10,ATO,2.78845211338908,long7,-31.6478062476411,48.9348535152595
11,ATO,2.78845211338908,long7,11.6837256743246,56.9401820869819
12,NA,0.275115624721756,long7,-98.0149120631854,63.2246487451208
13,EU,10.9803510329698,long7,-21.3094234115385,78.1589485012573
14,AS,30.1355157240119,long7,79.5481530400759,43.5534737151943
15,ATO,2.78845211338908,long7,-47.4326476930752,41.0415287990184
16,MS,0.963089001128358,long7,13.4342527606405,36.3646212975313
17,AS,30.1355157240119,long7,41.8204594862124,27.4040067421896
18,EU,10.9803510329698,long7,38.9114413378619,45.9653915898005
19,ATO,2.78845211338908,long7,-7.07653133397307,34.1414636388646
20,EU,10.9803510329698,long7,70.0536623398847,64.5431704669836
1,NA,0.275115624721756,long8,-89.702001805454,44.2902358353669
2,EU,10.9803510329698,long8,23.5706963254105,58.8185920851599
3,EU,10.9803510329698,long8,124.896199239897,65.9993125060571
