date,ERA5,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
2004-06-01,32797.3996174549,43359.0639127735,39516.1132549273,38175.3292100001,41191.962567456,48157.6965584257,37157.7511767993,47086.7738760083,41177.4636789174
2004-07-01,46936.2365028319,41544.8349488528,45521.139736942,44079.5709251796,58564.7812535796,51203.4144115711,47153.8287884328,51322.5603763026,42580.5171761844
2004-08-01,45803.2210031606,58384.3293480953,64794.4330074519,45018.0123506063,59318.4618504405,68246.7022791282,36967.221173129,45355.3669664692,49452.2816737076
2004-09-01,67389.1113289335,58442.7042308723,68390.2128807198,61269.1734997466,57348.5836616525,62643.4673366564,61715.9441690532,58718.9252648369,64663.6970866608
2004-10-01,71673.2861144438,58723.693888515,39888.2754796315,67002.1773468116,62637.0655311674,68246.7022791282,31318.4755939732,46359.1806576821,76536.774053384
2004-11-01,61347.0292239284,55313.9367515254,43287.3335374236,53854.8779145825,42217.0263175778,66384.5960014136,61607.9265698844,56131.2615849603,51447.6070741597
2004-12-01,47352.6405885983,44129.5533432723,53689.9574352256,43091.3267508114,37807.7534142859,45347.1243058045,40683.5722899015,43551.3698852656,43467.6167429356
2005-01-01,47814.6788224983,43284.487199933,51813.1219418959,40243.6459693881,46677.98453672,35243.5377441157,36158.4739716389,47238.8461442238,45735.7843504782
2005-02-01,39302.5584711998,37712.1504351315,57036.5161846207,38325.8222057948,33031.7687032379,36171.9520232585,33864.2028427677,40751.4650377543,33519.0060995782
2005-03-01,28120.8319937198,39165.6960213746,31351.690069613,29686.9161086124,30295.0704128464,23495.877849578,32096.6403823124,29538.2648147714,32269.4502849023
2005-04-01,26067.1723089852,33704.1152505173,51434.5923202745,29923.8530133924,33570.9360036969,32157.1390626054,59122.3772747493,28994.7949060701,30937.5627285593
2005-05-01,44250.1998733127,54681.4927621028,57036.5161846207,48700.3318920897,28865.6662095641,48257.7387140984,71418.1021853103,56131.2615849603,53970.8339485487
2005-06-01,64102.4635836287,56089.0906426423,53416.5624853996,49615.0754889712,56538.9046981329,57525.1561938998,57549.83181651,54168.011780133,72631.6141432465
2005-07-01,60583.2888895573,48931.1522082166,53151.2149365936,53490.8760462783,58563.3631548193,57578.9914249642,52662.2065709007,53236.7513755003,57412.1958430293
2005-08-01,56051.131360601,50577.6916290948,48765.2196730175,53075.0195869389,58663.6443131699,54968.1189965672,50602.6414824992,54073.4427427952,59705.3896716373
2005-09-01,70192.9290481389,57508.7102969723,66321.9551082482,61060.409444273,61229.2935221727,59522.3569072272,58221.9745285965,54687.6803029905,71673.4277554877
2005-10-01,107497.973246117,52125.3329459156,50629.4712808446,55392.8274394618,58521.1578338469,56788.1625782389,74436.0817205778,54504.1081775143,49460.2611373927
2005-11-01,62538.2608305705,54156.2360885969,46959.8000470716,46888.417961403,56682.7494168731,51408.6814102155,59932.599931098,54912.6451784276,46946.8840156347
2005-12-01,44919.7847148713,41733.655723177,44917.7998160926,42269.2423059772,35554.0794699447,44516.5292079627,49419.9357315099,41063.5897337109,38518.7188883274
2006-01-01,45047.4353565164,38029.8937469023,38085.501037787,44980.3547083535,39690.5089015844,39576.8614807767,44215.4952628333,39049.3922226191,56116.2212212962
2006-02-01,33654.2620196338,38198.8626680116,35181.2755140413,40187.8463813817,38974.0807454454,37615.9471019371,43432.7159620624,28249.576349608,36280.9301578577
2006-03-01,14971.857741301,27324.5615769762,27092.3863904811,25486.1012648369,28363.5446024891,26530.8517171633,29742.7554248813,33889.8669226457,26876.7876726147
