date,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
2025-09-01,77189.4768085981,59823.9911276318,68571.7370223134,75002.9933689063,50303.7685928769,66249.172229768,64934.1473116069,55250.1471230514
2025-10-01,77495.5651840297,65711.5381312348,93552.1007494461,81567.4141862244,49871.9442556535,55506.9948382868,61915.0160661627,94011.6757669688
2025-11-01,73353.2626849585,73298.7270194712,75439.7031306124,66572.9735764913,56979.748025174,69636.9324429586,83277.834747489,81000.4322685257
2025-12-01,66576.0464142985,76648.2375963555,69308.9677314428,64841.9557208129,71087.1257001432,66158.5000641632,57730.967798403,60144.9555708211
2026-01-01,57140.1530605756,64121.2447648285,72802.4461084556,61875.8279680507,59633.4069633198,65576.7921882159,77554.0865186873,60297.2068904254
2026-02-01,74588.6941384433,64435.3904362783,61863.2300733041,65078.5652682737,73900.8744409941,61971.7516433226,65513.0535929983,69463.3005389864
2026-03-01,67456.8152035321,87395.8584695221,57608.8471835233,59472.1795908324,73891.7371201602,83241.5462524059,71619.6346177707,65818.3445915715
2026-04-01,70685.8691753476,82178.0163714775,91338.2260110256,65017.6048936833,78624.8838172969,93508.4814742993,58544.7241927862,61623.9823892973
2026-05-01,60343.173901624,66753.7758666249,66435.9272280356,84225.0267979828,79352.2457094964,79060.6821735612,82520.6246372539,94765.2531295018
2026-06-01,45939.650985643,55930.6759792741,93552.1007494461,66920.7292494979,91284.4579205719,68197.1517665495,70286.342454248,83684.7489368111
2026-07-01,58094.3885975218,52348.6849813565,63710.9916750971,61699.2746872621,50825.8313077469,78686.1640530831,61168.3257076193,83684.7489368111
2026-08-01,63665.7068240044,59609.4559351887,54210.9741327471,55589.4164306519,59868.0272771862,64696.4222669972,49683.6890836903,52711.0601040471
2026-09-01,62118.9684583247,53490.4454821776,93798.1205266147,56405.0823024692,52784.3869859633,66490.4424840256,63200.8048404973,59805.6113958337
2026-10-01,51210.2589888633,61107.3779186361,67645.0798575049,67493.6219705457,58131.3644486395,55506.9948382868,83589.4802117504,79683.6410518441
2026-11-01,73117.5549841769,87395.8584695221,65164.0925278761,84135.7778406452,59720.2429739438,61897.6919254681,67404.5952673794,80851.261914556
2026-12-01,57140.1530605756,75372.4068325379,68653.0647857742,77720.335127753,69989.887205807,61738.267331189,57950.9165731617,68094.010182154
2027-01-01,73062.4866809991,73298.7270194712,49332.3219481903,62099.2867179665,62766.2109373177,62063.7078197249,73242.0196006946,73347.5830360356
2027-02-01,66892.0152496257,66511.2243565716,73737.9452659532,58124.7469404522,78665.217818014,72054.1628581857,56273.9710660438,73530.2185947089
2027-03-01,70566.8209878816,62981.2510156878,62202.5401115495,66387.6762852364,81414.0742271957,82817.6660228921,58113.1490564388,59760.4630900889
2027-04-01,57870.8869826836,52097.7302155254,71181.1230518674,59347.5119395352,59592.2031133303,64693.7070299761,64991.0968979185,88373.5930575697
2027-05-01,51254.7322916926,61957.3919047967,61327.3107486887,76153.4727888634,87793.2895528093,78412.639254196,69875.1459859089,87907.9328623006
2027-06-01,63811.4124110641,55349.4334145241,62141.8740838344,80759.7236101955,56314.7141598581,72322.2634481998,67618.3454738572,54457.8374799879
2027-07-01,48034.4960360233,52468.5994764888,59716.6893012378,75365.8329884399,50825.8313077469,64308.7801334662,83080.0132605158,52302.4751298412
