long,lat,SST245,SST585
8.125,36.625,-3.80897333486051,-5.28303447237995
8.375,36.625,-3.48420037665028,-5.18492395215929
8.625,36.625,-3.65164512767738,-5.21903835509249
8.875,36.625,-3.92202340366118,-4.90977097530165
9.125,36.625,-3.6973970325028,-5.82769191742303
9.375,36.625,-3.52671019024142,-5.72923004473864
9.625,36.625,-3.27902149715913,-5.65907613363101
9.875,36.625,-3.22763098720037,-5.78652012395431
10.125,36.625,-3.19047799343127,-5.67481668753583
10.375,36.625,-3.38365449839332,-5.37368515214561
10.625,36.625,-3.02833628740644,-3.83316194304989
10.875,36.625,-3.16261483411878,-3.04859504174279
0.875,36.375,-3.3395963730911,-3.67825211586735
1.125,36.375,-3.446499008567,-3.46337907623579
1.375,36.375,-3.44690922861296,-3.59827292385914
1.625,36.375,-3.48063752014015,-4.09364906618104
1.875,36.375,-3.78489998555724,-4.25052594596504
2.125,36.375,-4.22645055726239,-3.84739108805665
2.375,36.375,-4.22660103838128,-3.89150653404773
2.625,36.375,-3.91898627362852,-3.95537137167644
2.875,36.375,-4.54290015456266,-4.30212746643252
3.125,36.375,-4.69798650158018,-4.86742405060809
3.375,36.375,-4.84967874088324,-4.93260248890868
3.625,36.375,-4.43527857412209,-4.97114920639616
3.875,36.375,-4.30647073932667,-4.92241576640753
4.125,36.375,-4.23041069325351,-5.14224703429536
4.375,36.375,-4.00341869809543,-4.94512469504706
4.625,36.375,-4.57305442501399,-4.86919891325228
4.875,36.375,-4.39592604060035,-4.73571652489121
5.125,36.375,-4.7181694369931,-4.82237667431316
5.375,36.375,-4.6577302152782,-4.99279409489331
5.625,36.375,-4.32120172432035,-4.93136833005987
5.875,36.375,-4.38955343436031,-4.78852466376245
6.125,36.375,-4.89230495621945,-4.97725354811713
6.375,36.375,-4.87498603389689,-4.89837938339292
6.625,36.375,-4.5674231440475,-5.05561651149022
6.875,36.375,-4.78018251281512,-5.00009176303553
7.125,36.375,-5.5186145569023,-4.91700454771721
7.375,36.375,-5.36967974108573,-4.88350830228119
7.625,36.375,-5.59952165306413,-5.02389848013922
7.875,36.375,-4.37159356878701,-5.02838120608328
8.125,36.375,-4.61134001591053,-4.99169022511006
8.375,36.375,-4.0413958796588,-4.99886933069577
8.625,36.375,-3.90420542146349,-5.00426608020643
8.875,36.375,-3.75089585214642,-4.73512035528713
9.125,36.375,-3.88843643639569,-5.34244619560645
9.375,36.375,-3.52129088409584,-5.60131877519466
9.625,36.375,-3.55750479579602,-5.67148678914958
9.875,36.375,-3.40192649893382,-5.48190167048281
10.125,36.375,-3.11839293241161,-5.20237033342571
10.375,36.375,-3.03402590264263,-5.13337092855235
0.375,36.125,-3.34913013491947,-3.3314001967268
0.625,36.125,-3.51816362964379,-3.17391021136318
0.875,36.125,-3.60013177858642,-2.89080094461777
1.125,36.125,-3.68790133408893,-2.61256775359715
1.375,36.125,-3.94320229558402,-2.79756722412504
1.625,36.125,-4.07150523404173,-3.54815100786786
1.875,36.125,-3.90015840052084,-3.93789478920725
2.125,36.125,-3.83139730124554,-3.79880133052063
2.375,36.125,-3.73755014368967,-4.00532686976626
2.625,36.125,-3.85480396491632,-3.96410549361555
2.875,36.125,-3.88604436033342,-4.65979165957517
3.125,36.125,-4.33179513232973,-4.91030401404374
3.375,36.125,-4.58039816943898,-4.91688462174471
3.625,36.125,-4.26747244344576,-4.86465031933154
3.875,36.125,-4.19297647776756,-4.84802240767029
