long,lat,mmk
4.125,36.875,-4.99783384327042
4.375,36.875,-4.90106018461433
4.625,36.875,-4.8487545514536
6.125,36.875,-3.84224393895388
6.375,36.875,-3.76776283706825
6.625,36.875,-3.27277857205049
6.875,36.875,-3.4227421670254
7.125,36.875,-3.54247410271445
7.375,36.875,-3.52068422384885
7.625,36.875,-3.68988089972129
8.125,36.875,-3.65554992135052
8.375,36.875,-4.05234688280901
8.625,36.875,-5.75192918870005
8.875,36.875,-6.44339087495031
9.125,36.875,-6.29014663655109
9.375,36.875,-6.55702493300384
9.625,36.875,-6.30898193446854
9.875,36.875,-7.76590331726504
10.125,36.875,-7.10439310054752
10.625,36.875,-3.74940262887718
10.875,36.875,-2.26766646368209
14.625,36.875,5.21938504045459
14.875,36.875,5.63906827047473
15.125,36.875,6.1265189159949
2.375,36.625,-3.38384562051967
2.875,36.625,-3.43076710471775
3.125,36.625,-3.92734075583821
3.375,36.625,-4.64253398507395
3.625,36.625,-5.15694635362218
3.875,36.625,-5.60542589450282
4.125,36.625,-6.12926039390109
4.375,36.625,-6.04947166911201
4.625,36.625,-5.65275140102158
4.875,36.625,-6.18290010667861
5.125,36.625,-6.09429647161634
5.375,36.625,-5.16402434579287
5.625,36.625,-5.98960473822769
5.875,36.625,-6.52908470455069
6.125,36.625,-5.64201870694789
6.375,36.625,-4.77136184418379
6.625,36.625,-4.24642531513351
6.875,36.625,-3.96323137755373
7.125,36.625,-3.89737131813474
7.375,36.625,-4.17457777043562
7.625,36.625,-4.26404934033079
7.875,36.625,-4.2042113356934
8.125,36.625,-4.16952494746978
8.375,36.625,-4.52337874931135
8.625,36.625,-5.10866123751014
8.875,36.625,-6.01628808804013
9.125,36.625,-7.33872349740601
9.375,36.625,-7.27869958743788
9.625,36.625,-7.57408312955164
9.875,36.625,-7.25963106293424
10.125,36.625,-9.02152250887483
10.375,36.625,-10.0952459254057
10.625,36.625,-4.86498623476586
10.875,36.625,-2.7269965318398
0.875,36.375,-1.84596491421345
1.125,36.375,-1.80133632779362
1.375,36.375,-1.88302243266958
1.625,36.375,-2.32967499806654
1.875,36.375,-2.40210066642105
2.125,36.375,-2.852764130713
2.375,36.375,-3.05858085923723
2.625,36.375,-3.35311653380073
2.875,36.375,-3.39143089589919
3.125,36.375,-3.67252779944418
3.375,36.375,-4.08640376691796
3.625,36.375,-4.44583987175689
3.875,36.375,-5.99103366908607
4.125,36.375,-7.11244354891305
4.375,36.375,-7.86572006079395
4.625,36.375,-7.37147187574596
4.875,36.375,-6.45402507501003
5.125,36.375,-7.14056297082699
5.375,36.375,-7.14071874300395
5.625,36.375,-6.66963427872237
5.875,36.375,-7.84454744847883
6.125,36.375,-7.23704809960039
6.375,36.375,-6.97864839863549
6.625,36.375,-6.06554701733321
6.875,36.375,-5.28636520245728
7.125,36.375,-6.14838832544782
7.375,36.375,-6.07831565408445
7.625,36.375,-5.81228595439265
7.875,36.375,-4.99702976591734
8.125,36.375,-5.56043434429481
8.375,36.375,-5.41164695540625
8.625,36.375,-6.39510949376346
8.875,36.375,-6.8854621192212
9.125,36.375,-8.17522254608593
9.375,36.375,-7.95607424226565
9.625,36.375,-8.58455575023512
9.875,36.375,-9.06428380560066
10.125,36.375,-9.43594815412275
