ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
62493.9219692088,59008.6768972952,69117.3386433424,61061.0911346531,61709.2616348689,57937.2335592058,61185.0401001848,61264.446766574
54076.8276467334,54140.5922734524,61230.6775686476,55809.6612310265,60716.8948438994,52088.8313725564,54911.1112523088,54490.9498797285
57579.8263159466,55872.8027086301,60720.7509125612,57326.6729225143,57403.4801378641,57051.1597914524,56457.1859048843,55816.5721084056
65659.5849335395,64682.3644047511,63866.1441815107,64988.2178003974,61871.7440497217,64598.692310365,64299.6511793233,63489.9477608645
63819.945696844,63938.6649743395,67665.5231308307,62113.7321648613,61838.0385870644,66867.8257893221,52208.5510365328,57845.0216656572
59439.7144165194,57833.3542702013,64805.5750007089,57958.9437611233,58841.3908865307,59935.3757790995,55723.23388056,57391.1875645858
68435.5086392862,71230.6267975205,76206.909474645,69554.0781861775,69230.7520064176,69577.0393760723,67715.5927262801,68978.9462636288
81163.4065046282,81738.9117149535,85532.8872362144,81033.7962084933,80451.6981029822,82988.8307401431,81147.1639500443,80446.6997938461
92614.2378364718,90945.3891055142,91532.5289760541,91215.9021704555,88692.3833997334,91555.5131068639,91451.9928276406,91844.6544622531
97898.3579336388,99455.7476849164,99680.9706354793,97350.3261424108,100232.686348454,95581.4949002475,97338.4345309074,96880.0768285053
84132.2990465415,80313.7246041745,87165.5800164638,85516.916907812,85280.4576328085,80081.0492211877,84448.8719330232,83012.3929629017
65040.707938767,68067.4438606949,69282.3983194219,64464.6104857279,61825.8285750456,68755.6668119046,65007.1511998299,65171.4349187505
59815.0273987753,67685.3396181372,61450.2567290036,61143.2802518203,58319.5918975619,61357.7873654182,60723.552233261,59955.9043170973
56878.3597769033,55278.5874554597,61055.2408389388,54513.154902143,49736.4378629002,50048.1898406484,55343.8310029314,54317.0339555003
59624.2941044006,57643.0863150546,59861.8586030799,56286.2370863519,57790.9882801088,57411.1943318185,56723.815673712,56700.3496087222
64085.2752230478,65103.0470020573,64799.2582040149,63907.2414716139,63859.6408674407,61116.3532969566,65502.9516057351,64481.530826322
64061.5988578522,63028.6696962836,66162.8084946354,62028.8971602114,59885.7326034145,65846.0637567281,62913.9389237756,64821.9415501163
58893.3981739784,59172.8848229425,59807.0510559196,58615.0373460978,58904.3478300593,58583.4456404311,58748.1048418493,58687.3150619991
68931.0834101779,70747.9285208738,73240.5875080326,69574.5496595128,65696.8922687876,67197.692783712,71277.7345830788,76250.1116787527
81064.2295790745,83998.80878806,80263.3266226233,80647.1436213717,79402.2147291028,82146.5641418559,81205.4842040056,84672.0126460692
87635.7539039006,92182.6321365023,91814.0992940411,91438.0402528393,91926.7764926718,88677.7343104331,91518.8734798484,95006.167223528
98403.3048128047,96163.2873100811,93317.7077205927,97074.723225528,96439.8031069696,97446.1284072557,97194.5297540611,98316.219133322
85350.307711711,83004.3813493161,87183.4925716924,85413.7733485876,82544.7511301641,83732.368003566,84546.6499541151,84229.3483961883
64243.0208427258,63459.071045348,59218.01562245,65401.6536445148,65253.1941682888,64431.307309671,64649.7336643002,65661.8256921431
61765.8551370519,67222.9447956463,49900.0022518449,60039.537675756,62685.8694232113,49915.8599713864,60129.3055087341,59734.4465543258
54977.5608181179,53997.5573710065,48817.4710568547,55125.3601636957,53888.3213552605,58902.5611810517,54920.269416268,55216.5272963189
57213.9404026604,57357.5702522722,53390.4180776128,56721.0997353819,57898.1558200364,57830.7806183606,56502.797828823,60695.3872472059
65311.5280465655,63680.5756321528,62852.3460894556,64289.2253741236,65359.061982328,64484.2655621975,64115.7680705559,63614.076630479
63502.6318677904,58536.7183601361,66270.909375549,61955.7099655282,62614.2656699035,63785.014643777,64103.9641745697,65596.6176534501
58874.4902440703,57886.3678278061,59338.8970781892,58236.2307086129,60562.8118953571,58720.6055239464,61233.2220527763,56650.9357843449
67588.1053707768,70586.576987994,67792.9477936587,69635.4268852221,67952.8493499441,71231.6237384973,71111.122301788,70342.414153796
81348.5870689922,83850.311507728,82779.1113736313,80830.9145116363,80672.2613735757,80784.6998433164,81518.7426272409,85869.7531785067
92306.3882172022,92098.0809681725,91381.4746725638,91088.8453524358,91896.4052317976,91404.8395850625,91213.4023091456,89461.6868607197
94960.2374053212,99101.9759565966,98336.3487297754,97151.23630262,98943.4752507452,97174.6485102347,96343.6467935512,96971.7341425707
84608.4486267376,82748.0764022925,86763.6215449793,84770.1287508578,83185.4759643202,88809.1496346943,84477.1280986432,83743.1649314965
64569.1898130568,62579.8970535158,70235.5672793873,65905.1505285333,63052.2108248406,64883.4472407302,64617.6234169818,63935.5185518373
59872.633978811,59614.2890348307,61653.9716429463,61380.7944100495,62427.790275777,61460.7879226931,61392.8589104532,59905.0270959966
54270.9723919631,54679.3240488199,56216.3938696235,55354.5880656287,58067.8037543553,56763.6685250552,55192.1340203841,54515.7023430179
58970.3830260728,55924.1521314945,59573.7355128403,56673.2225043364,59103.300050974,56672.7466020096,57072.2848866535,55693.3857532063
63196.9861385056,64174.7189288525,65434.8259780231,64298.1291543737,64259.7368937005,61759.649332601,64584.2286211234,64631.1251965986
64026.6905123982,61939.5468409827,64333.0536596492,62809.8305279116,64154.4562823344,58217.0711540444,64326.7585044254,62170.1747809698
59056.4218215184,60246.171948928,54153.2264033,58085.4654778533,59164.9115982802,61672.7145352765,57026.8967790275,57025.1500059952
70379.5692413224,69424.4015829558,71149.9396410286,70196.1117335599,70238.4005915504,71766.0464428681,71080.1135501332,67690.5842221957
81702.2618489452,76945.5362785793,83679.1527870815,80987.4483927292,82754.5587075869,81798.6001022544,80529.3047084586,77893.340086795
91398.2157066087,89721.602477537,91784.1705340405,91763.8935853596,91817.5357454014,92096.4523259143,91525.6359438117,83022.1461924988
96644.7818389012,96934.09617436,97585.3795251562,97512.575124598,97659.689969256,98001.6781503431,96922.4563999701,98837.535529204
83867.2436406067,78468.2024852794,85587.6323282003,83402.559781141,82971.0464435665,86132.5513729961,84693.3766525169,83033.6288262992
65370.6179267797,62461.6675804659,58345.495273097,64249.8279498014,63191.4391992317,65058.4085833566,65307.1890342382,64161.0436697319
60911.7637459599,59447.7981811252,64357.9748824091,59863.2317367792,56948.2537119456,61525.4283534182,61734.2244124628,62880.7082382553
54322.5276630188,55139.1645434196,59817.3161436289,54914.7587869591,56885.3712822948,60625.5353143372,54971.6138677749,54232.8352342092
55314.9246745333,57527.5688526266,59300.1827310876,55773.6469550363,55250.6025219507,56363.5654552343,56020.3489311292,56205.5805509596
65117.2414204368,62578.4086490204,62852.2303801992,64349.362418099,65197.8595991283,65475.7762783314,62050.1346794712,65287.0331820914
62418.6147406901,64805.0216157699,51498.0279490167,62662.2776884976,64154.5804463953,51686.5261789807,62254.2566544173,60744.9800351331
57466.0406235555,58729.9793044701,46882.3153282333,58486.7792693277,58908.6550786336,57215.6610647365,61441.1838916353,57718.7827699394
67464.4184043187,70508.658745039,63587.8256042143,69966.1960010629,70648.1287173892,70541.1754190998,71204.3788086331,70429.7379881268
81695.6778688609,74171.1255936115,70077.7852597092,80989.1010069538,82681.3591531896,79964.4459120987,81240.7378502256,81530.325339509
92760.8927250714,91062.2835465599,91829.7251880436,91740.2988039928,91612.9204358595,90143.05071598,91575.9887165676,93158.0557849848
100374.545440915,96208.8977732005,99030.2104214723,98013.0542667368,96440.5062824996,98299.4995989612,99707.1592220744,96814.4745796181
85372.2635896606,94846.2859176378,88021.3993760559,83445.4483613774,86750.5193628433,80064.6450719258,84541.3342408551,87661.1845573227
64287.3940287035,62445.0194193917,66271.7101441697,63912.5505285928,66192.6984828959,63475.9412227124,68202.5290749058,68685.1132784081
61752.3871351466,59365.6017931679,51442.3140790482,59401.6240776854,57139.3454542235,52142.6378804587,60030.1090605288,60201.3234893232
53958.2579553666,55643.6052339259,53489.4001093609,54867.526960804,51051.3066984507,50308.7565295327,55000.2350077056,55996.48825487
59077.1104712776,57634.0769716978,57349.0517817095,55883.0550640874,61924.9619623625,53320.9133860729,55936.5315229777,56311.8210083837
62520.6487788619,63724.5222355823,62191.7362349284,64511.4182728222,64779.4451484628,64486.5358149544,62980.6836868225,63487.9172816031
60689.2572334723,62884.8390123584,65585.9281595643,62725.0999164004,66118.292725316,65369.1437505867,64032.7509531609,67671.1670983937
59032.4719148283,60193.5182095956,45236.7082202142,58777.111428973,60618.6355961353,60618.2712017544,60774.3601999152,57310.9572980371
68541.1972661056,66907.3373531414,61279.371252634,70009.3045106094,71393.0462507687,71541.5502970602,69125.2352068122,71051.5443106045
81199.4543532835,75438.3142620274,78380.7742153846,81151.7016458419,83792.7398464804,77017.9247500838,81349.8979281377,84123.9992623742
