date,ERA5,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
2004-09-01,100950.340978115,91230.1038659067,82760.2483169538,89632.4166603923,84671.9568962416,86959.7070279666,79697.8034905516,97929.7634842843,90610.0583918781
2004-10-01,99515.6863626642,68532.27946309,80389.6244217592,70182.4719382316,80651.3147335078,81785.1753155687,74969.8187081057,79862.0707209851,83340.3985565895
2004-11-01,103932.974075233,82970.9443316369,88142.5428465672,92085.0765803714,91381.7107705037,86983.075502178,89284.2535276697,82236.846366286,87291.1561947679
2004-12-01,99358.0544349487,84370.0208145117,85995.6252837467,82177.7438999569,86892.0289587914,84005.8426589052,79701.187243183,77663.419859349,78803.5665521745
2005-01-01,66630.060196956,71013.2582239605,67641.4802012851,54824.5960417271,76020.9129418089,63901.3318469508,65547.782705737,67472.766290551,66471.9436381059
2005-02-01,77422.8319878097,77503.7934526059,70424.7088087169,70938.0084089484,73215.8886824378,65528.9523620473,66170.5800291832,73098.7804137416,68210.8775280717
2005-03-01,73969.691949083,65949.8873570563,61230.9290126668,71575.5979171403,66873.3900403759,60044.879819109,66156.4372931683,59794.1246417857,62113.2259210539
2005-04-01,65762.9368175813,69994.9837600812,85995.6252837467,62709.1873708692,60516.9901095819,66740.0152697576,53938.3107810725,73098.7804137416,50625.0844344633
2005-05-01,68332.9857621442,63966.0894895666,77449.6083795072,63408.8155550953,80898.8790331973,57445.0120148135,88543.4272681126,97561.7484801509,101315.426389839
2005-06-01,65476.298289703,69996.1623056621,70435.3251898684,62076.3756091972,64436.9679485423,70860.7562740532,63452.5291031186,73491.9220475073,70685.9470647253
2005-07-01,65683.6281927545,74944.1058587004,62843.3519059887,65427.2849292093,66772.9289630307,66461.7860696777,62228.7940696108,74467.8444970348,71156.5075658738
2005-08-01,78962.1667794273,80371.9616251873,66894.721208835,75740.4536961407,76867.6234593451,76616.4027951527,69136.8633707305,73793.8304705655,72033.0583441089
2005-09-01,71347.6787283306,74100.5099552337,70615.0653755265,75098.9037788827,73045.2007949377,74452.2649111655,73608.7817643815,79782.810416323,64380.3093903674
2005-10-01,92250.4630397298,69994.9837600812,61865.4788595877,89082.0495878065,66019.5203858541,86414.9418051335,87956.4248020166,73136.8212994632,85181.5353927144
2005-11-01,106972.733407653,98463.2520344041,88952.6406462242,87755.6113293266,97339.9426920354,87569.3204943652,89181.3615234341,92661.0618164908,101512.971808942
2005-12-01,92056.7149374173,75359.467443552,82332.8990668733,77135.837626873,77252.8439136421,89054.2237037833,76756.9489902946,80898.7356609915,74999.1698999002
2006-01-01,85060.4134093378,67112.4631633696,73059.3181516465,77459.8976776379,78854.7146159486,67164.4677598092,70908.5028387429,67708.5254077926,69607.1761668733
2006-02-01,63566.8894107191,65962.9133531238,57330.2434490636,57769.5196578496,64725.965600626,56329.1315799978,70908.5028387429,58433.0675794807,58995.3122408851
2006-03-01,51595.0627683725,51391.2984686299,46515.7971477168,54194.2367555333,52382.4762493318,62283.6756700068,63010.6372325036,50343.4667783229,55552.4310504771
2006-04-01,55081.6747286376,62289.1435404343,63431.2271572025,58303.5102238735,65276.3072883357,60349.319275517,56825.7176977311,65676.2717229024,60516.2610414669
2006-05-01,69772.1097332405,74180.5102913171,75525.9637304636,72818.3568654977,68217.4744401035,74845.689450177,79425.8680031656,79862.0707209851,75755.982878965
