ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
54292.4949032983,62393.948713993,53898.0506730202,52051.4787051462,61143.84329581,60149.414605931,48077.4805075569,59738.3594166145
57329.598838261,61605.3903113772,57086.649677583,53551.1704367322,60814.7636239503,59273.6798028128,54226.9172390112,57548.6580313158
61909.7948246758,64176.2846920901,56665.9573084778,64664.0886972439,59906.6407621195,65261.8985114077,64527.0252408832,63942.7034563384
69456.5998737864,61773.8245877241,60339.8760375615,61686.6217113012,65785.7059635134,67877.971570917,70733.0292668613,64325.6429675568
62491.0309710733,48950.8544484783,48825.1082941803,57198.3376118275,61330.6899603268,66594.6399524245,66050.2476813878,56162.3259244266
70732.7004794335,65580.1965189559,71831.3260480479,70763.6084035056,71430.0002694534,70297.3052622715,72950.0105341635,62532.789354468
82028.9383873773,80340.9475839124,80281.2742722135,81467.8822368766,83147.103496844,81330.3097230664,84109.7244681559,83522.360162493
92562.9724763275,92223.4942378357,91985.0671210992,91808.0610430064,93467.9566173133,91004.3118909894,91914.5209655214,92195.0360333207
98648.7678748533,97260.6111370125,98054.3821647101,98658.5426841305,99133.6403277331,98735.3561586289,95801.8388331991,99249.2230528617
86888.0981192371,86293.2164231452,84324.8693813356,86265.7681829751,88807.9640757669,83144.6082754063,86971.2237808598,83499.6792035206
70756.4284132557,61431.9035984726,66882.8042056924,66709.7840090332,64020.9934103462,61346.6725049896,71454.620638837,66886.069736596
59768.1612566915,58383.3790966092,57676.6891936814,64241.2166291677,56620.0501369427,61506.0757809352,66200.2931222154,61939.8257795749
55072.548434007,53927.2197526504,54979.6990272662,59905.5045379159,62617.6166885279,55308.3518938955,52355.3868732861,55801.0868295691
58523.0079987417,58769.0909411925,57519.445400442,56436.0744614314,58172.8801255661,55979.3705651234,52879.5280188565,48881.0352645134
65839.8121772214,62722.2547139531,65137.5348951473,64720.3535357476,63277.1606370496,65744.1637394111,66082.5091705168,63548.3384510826
59613.0789557361,65422.3023806755,56716.9054059286,60531.428791074,67005.7585029848,62391.0539944131,72358.7481886113,64454.7128476162
63673.9299471825,57465.5812182751,43882.1552580631,62675.8758231513,63246.6559081655,51056.3199994455,61712.5809335225,59479.3114612876
69552.8251759173,72697.7014484271,69104.880719607,72069.4357681714,70864.9247802627,69770.869554913,70325.0462331789,74300.7640723858
81848.1047002281,83589.2387090908,80998.8905677419,78506.3454169425,83571.9409082762,81152.7452436986,84308.0884307466,79444.0177285255
92320.9536817842,86761.5208041056,91917.5332004495,90448.2914023212,94102.7994392096,91038.5228242338,88832.8252672925,92769.7489701528
97173.1975696272,98921.7816989533,98830.0817151483,98108.931950013,96009.5673663617,99488.6158542443,98183.7606233801,98350.6590819251
82188.8531689337,84449.707271301,84469.5981164806,85040.8004015251,93043.4267611946,85533.9000513417,87660.1669657493,83874.2305020482
64398.1737258546,60936.2259800301,59575.719982908,62037.0290001909,66361.1544125494,54977.4512134433,64514.6097827659,61232.8968713089
62134.7172740097,56351.0169676926,60091.5431548408,61166.7570530925,70411.932502386,48925.0208566469,61721.8740783545,58413.4843639685
52179.8281684234,53324.0823782423,48718.0677594894,49553.3991418274,66071.5084683883,52293.8084795247,54123.9009369084,54475.3596777939
58703.2698832136,51757.6615926233,56746.5518433511,58398.9572665338,56113.7888147528,53995.0754606436,60617.6965071999,53049.2008895276
65314.2214227119,65327.6844965523,62528.2431765534,64674.4660493844,68282.9104832696,65765.4282896764,65843.3414912775,64722.0941183899
62543.6997103091,61729.4631449153,56434.3700625787,53878.4170524501,67155.4088160719,49729.8893197375,72202.7717455292,71067.1337011344
58365.0677848144,62329.996093472,53512.9607047125,37465.396525403,56365.2092449031,55212.8177870422,59055.3564586577,56882.0975887681
64191.2666313662,59681.0936977719,66372.0848441915,68485.7775740384,71110.5906580676,69246.5816347081,69033.4030982437,55605.7966633502
82071.4194125267,83261.4456458352,80889.0524028977,75230.5675782648,82833.7071063718,81557.2231277859,82582.2591039901,76273.094764709
