date,ERA5,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
2004-08-01,301.305531988824,300.979802334709,301.488455954851,301.075290785075,301.442458848604,301.200285670418,301.337579579674,301.333168914471,301.380138738718
2004-09-01,301.099303531055,301.252910546684,301.254612716061,301.066689531006,301.277843086482,301.285473872357,301.196903869011,301.240776949202,301.141876395688
2004-10-01,300.287445015861,300.600997955149,300.539126332142,300.563759802156,300.649496300424,300.615318530172,301.113963051508,300.895350513314,300.955389134362
2004-11-01,298.768622816327,299.045744068116,298.97202810066,299.075705672105,298.911438609079,299.033062955895,298.916020341069,299.013373806719,299.115678406196
2004-12-01,297.588607787291,297.668701985269,297.826903265054,297.562586185135,297.484588743552,297.588180774333,297.599472542581,297.648497048098,297.685181153553
2005-01-01,296.577291260657,296.599507525872,296.645972650524,296.587547615755,296.515417774475,296.465084315148,296.446524343103,296.595369763208,296.515135472636
2005-02-01,295.914392774871,295.998867965937,296.165269311934,295.935778710721,296.160542142602,296.026487528571,296.109106324223,295.962701093385,296.011730227036
2005-03-01,295.963977081326,296.087479975967,296.30108600517,296.180174954951,296.226843912159,296.188089853498,296.319578657101,296.12824313203,296.005109702559
2005-04-01,296.710884877342,296.371070781827,296.658024334102,296.563492657386,296.670197336901,296.606740446105,296.718643355966,296.789767441526,296.546471008133
2005-05-01,297.833973872104,297.865279040945,297.787981798826,297.573665700628,297.829343925343,297.60430811777,297.790790285454,298.227653053596,297.361318563566
2005-06-01,299.668281073541,299.478699631428,299.523027027586,299.442282399927,299.334169139628,299.519423099389,299.590863168916,299.553988431541,299.074048299097
2005-07-01,301.108297700698,300.984072802035,301.0571244713,300.835623621575,300.783847628875,301.045559510378,300.986986858069,300.826671639731,300.559938461329
2005-08-01,301.742536319593,301.565321295635,301.594913249538,301.370404629449,301.679281433707,301.541797940455,301.537672003851,301.575094630869,301.384185960662
2005-09-01,301.506583522782,301.550961810702,301.548116788165,301.420505702821,301.44316827763,301.435815674088,301.469049495083,301.480919959078,301.13952848489
2005-10-01,300.530351595145,300.601397306844,300.611942331863,300.563759802156,300.642865916081,301.200285670418,300.636184246264,300.70202629224,300.758509915045
2005-11-01,299.066576926035,299.129078460265,299.350211202807,299.089624390998,298.61979366863,299.064649757996,299.04812571412,299.150914753523,299.057739019519
2005-12-01,297.511829619027,297.729162603448,297.632197423701,297.567895138772,297.431786065843,297.722843574098,297.590390326125,297.614022471958,297.504268787434
2006-01-01,296.626600235973,296.580156263065,296.629862227441,296.546310595493,296.395348302725,296.362994460894,296.448691358901,296.741631621698,296.341127211121
2006-02-01,295.980313522863,296.126700500614,296.040897486444,296.061662551341,296.138534737035,296.026913442138,295.975813239408,296.038497718511,296.1085014613
2006-03-01,295.910270135308,295.968273402161,296.019098910225,295.915315994025,296.155312101238,296.164368316819,296.277823466605,296.112223582437,296.066336721347
2006-04-01,296.613648340686,296.680153973193,296.368648729608,296.541643030009,296.61421846438,296.643224745841,296.708635133993,296.583050609731,296.546471008133
2006-05-01,298.024761634854,297.865279040945,297.879268254754,297.829402310569,297.9690389181,297.837868388385,297.891312690552,297.946749831704,297.34065871582
2006-06-01,299.544654558642,299.488762280195,299.293745587902,299.350528319304,299.545796473301,299.483577728242,299.566095291547,299.4455068664,298.405519817871
2006-07-01,300.698961309737,300.658273461694,300.611942331863,300.65949433636,300.597179658066,300.663599123677,300.636184246264,300.640597121417,299.964417284345
2006-08-01,301.431089844997,301.39020717019,301.454466143913,301.387111390831,301.192411389852,301.357964706642,301.557655745211,301.477930734852,300.981782320415
